station_locs,avg_rad,lat,lon
339,16.0900001525879,51.9867,4.6678
340,1.1599999666214,57.2491,10.284
341,1.8400000333786,48.6134,1.6894
342,4.48999977111816,48.2962,10.9029
343,9.13000011444092,48.2208,12.6817
344,1.44000005722046,46.7979,17.2098
345,9.63000011444092,50.8378,5.6719
346,0,63.304,10.334
347,12.9099998474121,53.1875,-2.4434
348,8.44999980926514,51.6468,-3.9508
349,15.9099998474121,48.1077,11.5301
350,13.0500001907349,51.3713,1.1264
351,1.72000002861023,48.3169,11.9854
352,3.71000003814697,62.1418,25.6908
353,0.8299999833107,46.1147,3.0084
354,0.600000023841858,50.6067,6.5433
355,2.69000005722046,50.5572,3.238
356,18.1399993896484,39.2833,-1.4667
357,4.8899998664856,52.459,6.0104
358,7.51999998092651,52.2,-2.2424
359,10.8900003433228,54.3563,10.1275
360,16.9099998474121,53.5331,8.6034
361,3.4300000667572,51.6998,-2.3568
362,2.1800000667572,48.3335,7.9361
363,5.86999988555908,48.9421,2.8626
364,30.0400009155273,48.0212,7.855
365,6.11999988555908,52.3198,10.5347
366,8.35999965667725,49.4609,1.0978
367,1.85000002384186,52.3309,5.3156
368,2.80999994277954,47.9871,12.9517
369,2.20000004768372,53.6759,-2.804
370,40.6199989318848,51.5523,-3.0273
371,20.4200000762939,44.3403,4.7568
372,2.67000007629395,54.4162,9.5136
373,24.7299995422363,54.3241,10.1344
374,8.26000022888184,48.0463,11.9609
375,8.38000011444092,53.7266,-0.4461
376,3.4300000667572,51.6998,-2.3567
377,1.24000000953674,49.6967,5.7445
378,10.3299999237061,48.7527,9.3099
379,16.3400001525879,52.5079,4.674
380,1.41999995708466,52.3887,12.699
381,0.600000023841858,50.6353,2.1205
382,0.980000019073486,52.8022,-3.0757
383,6.76999998092651,53.3249,-2.2426
384,4.26000022888184,52.3721,6.4802
385,4.26000022888184,52.3719,6.4802
386,4.26000022888184,52.372,6.4803
387,0.959999978542328,53.1711,-1.9831
388,9.27999973297119,43.3037,3.3307
389,4.26000022888184,52.3718,6.4802
390,4.26000022888184,52.3719,6.4804
391,4.26000022888184,52.372,6.4802
392,0.959999978542328,53.171,-1.9828
393,4.26000022888184,52.3719,6.4803
394,0.899999976158142,53.0979,-4.257
395,4.26000022888184,52.3718,6.4803
396,4.26000022888184,52.3719,6.4801
397,2.94000005722046,53.0828,-1.5707
398,0.479999989271164,60.8458,9.0967
399,7.1399998664856,56.2775,12.8351
400,0.5799999833107,47.5559,8.7681
401,84.629997253418,51.1043,17.0335
402,5.28000020980835,51.7401,6.6041
403,7.11999988555908,52.5423,6.0371
404,9.5600004196167,52.0243,5.5819
405,15.210000038147,56.06,-3.2304
406,2.70000004768372,53.7819,-0.6442
407,5.53000020980835,50.4677,3.7339
408,7.75,48.48,16.59
409,0.589999973773956,47.3818,-1.5185
410,2.44000005722046,56.3129,-3.0214
411,2.85999989509583,48.5654,9.2101
412,17.5900001525879,48.0666,8.5362
413,23.9300003051758,50.6152,3.0277
414,1.9099999666214,48.6886,8.933
415,1.36000001430511,47.314,0.817
416,44.0299987792969,43.2951,5.3861
417,1.94000005722046,51.3552,4.4448
418,0.779999971389771,50.8376,-1.7155
419,4.15999984741211,52.0701,5.2005
420,0.790000021457672,52.5616,6.3955
421,1.07000005245209,53.109,-0.3279
422,3.72000002861023,51.6997,-2.3567
423,6.3899998664856,55.9562,-4.1601
